"","Lambda","VV","VO","VB","BSV","BIV","BLV","ER","STD","RAS"
"185",1.85,0.29208801585229,0.128296072495683,0.111543161245371,0,0.168072750406655,0.3,0.0413396382335881,0.100907544273577,0.63
"186",1.86,0.291361747762107,0.127693022840314,0.11098297762483,0,0.169962251772748,0.3,0.0412743689449127,0.100558245705291,0.628
"187",1.87,0.290643247245081,0.12709642291388,0.110428785272959,0,0.171831544568081,0.3,0.041209797723496,0.100213347434151,0.626
"188",1.88,0.289932390350578,0.126506169795173,0.109880488584404,0,0.173680951269845,0.3,0.0411459134299666,0.0998727754342938,0.624
"189",1.89,0.289229055751253,0.125922162741214,0.10933799397721,0,0.175510787530322,0.3,0.0410827051607074,0.0995364572627616,0.622
"190",1.9,0.288533124674028,0.125344303129929,0.108801209839566,0,0.177321362356477,0.3,0.0410201622416509,0.0992043220179347,0.62
"191",1.91,0.287844480833212,0.124772494404626,0.108270046478232,0,0.17911297828393,0.3,0.0409582742222704,0.0988763002992687,0.618
"192",1.92,0.287163010365739,0.124206642020211,0.107744416068579,0,0.180885931545471,0.3,0.0408970308697584,0.0985523241682857,0.616
"193",1.93,0.286488601768395,0.123646653391075,0.107224232606176,0,0.182640512234354,0.3,0.0408364221633865,0.0982323271107736,0.614
"194",1.94,0.285821145837002,0.12309243784059,0.10670941185988,0,0.184377004462528,0.3,0.040776438289039,0.097916244000152,0.612
"195",1.95,0.285160535607471,0.122543906552162,0.106199871326366,0,0.186095686514001,0.3,0.0407170696339156,0.0976040110619605,0.61
"196",1.96,0.284506666298648,0.122000972521778,0.105695530186052,0,0.187796830993521,0.3,0.0406583067813955,0.0972955658394308,0.608
"197",1.97,0.283859435256921,0.121463550512007,0.10519630926036,0,0.189480704970711,0.3,0.0406001405060583,0.0969908471601042,0.606
"198",1.98,0.283218741902484,0.120931557007386,0.104702130970282,0,0.191147570119848,0.3,0.0405425617688559,0.0966897951034569,0.604
"199",1.99,0.282584487677237,0.120404910171153,0.104212919296184,0,0.192797682855426,0.3,0.0404855617124293,0.0963923509694981,0.602
"200",2,0.281956575994242,0.119883529803282,0.103728599738827,0,0.194431294463649,0.3,0.0404291316565671,0.096098457248307,0.6
"201",2.01,0.28133491218869,0.119367337299769,0.103249099281543,0,0.196048651229998,0.3,0.0403732630937979,0.0958080575904755,0.598
"202",2.02,0.280719403470322,0.118856255613121,0.102774346353539,0,0.197649994563018,0.3,0.0403179476851156,0.0955210967784265,0.596
"203",2.03,0.280109958877258,0.118350209214027,0.102304270794284,0,0.199235561114431,0.3,0.0402631772558293,0.0952375206985762,0.594
"204",2.04,0.279506489231185,0.11784912405414,0.101838803818943,0,0.200805582895732,0.3,0.0402089437915358,0.0949572763143119,0.592
"205",2.05,0.278908907093854,0.117352927529958,0.101377877984826,0,0.202360287391363,0.3,0.0401552394342111,0.094680311639759,0.59
"206",2.06,0.278317126724846,0.11686154844776,0.100921427158806,0,0.203899897668588,0.3,0.0401020564784139,0.0944065757143077,0.588
"207",2.07,0.277731064040564,0.116374916989543,0.100469386485695,0,0.205424632484198,0.3,0.0400493873676002,0.0941360185778761,0.586
"208",2.08,0.277150636574399,0.115892964679964,0.100021692357517,0,0.20693470638812,0.3,0.0399972246905443,0.0938685912468843,0.584
